A1BG	NM_130786
A1BG-AS1	NR_015380
A1CF	NM_138932
A2M	NM_000014
A2M-AS1	NR_026971
A2ML1	NM_144670
A2MP1	NR_040112
A3GALT2	NM_001080438
A4GALT	NM_017436
A4GNT	NM_016161
AA06	NR_037584
AAAS	NM_015665
AACS	NM_023928
AACSP1	NR_024035
AADAC	NM_001086
AADACL2	NM_207365
AADACL2-AS1	NR_110202
AADACL3	NM_001103170
AADACL4	NM_001013630
AADACP1	NR_026915
AADAT	NM_016228
AAED1	NM_153698
AAGAB	NM_024666
AAK1	NM_014911
AAMDC	NM_024684
AAMP	NM_001087
AANAT	NM_001088
AAR2	NM_001271874
AARD	NM_001025357
AARS	NM_001605
AARS2	NM_020745
AARSD1	NM_001261434
AASDH	NM_181806
AASDHPPT	NM_015423
AASS	NM_005763
AATBC	NR_026961
AATF	NM_012138
AATK	NM_001080395
AATK-AS1	NR_027255
ABALON	NR_131907
ABAT	NM_020686
ABCA1	NM_005502
ABCA10	NM_080282
ABCA11P	NR_002451
ABCA12	NM_173076
ABCA13	NM_152701
ABCA17P	NR_003574
ABCA2	NM_001606
ABCA3	NM_001089
ABCA4	NM_000350
ABCA5	NM_172232
ABCA6	NM_080284
ABCA7	NM_019112
ABCA8	NM_007168
ABCA9	NM_080283
ABCA9-AS1	NR_126414
ABCB1	NM_000927
ABCB10	NM_012089
ABCB11	NM_003742
ABCB4	NM_018849
ABCB5	NM_001163941
ABCB6	NM_005689
ABCB7	NM_004299
ABCB8	NM_007188
ABCB9	NM_019625
ABCC1	NM_004996
ABCC10	NM_001198934
ABCC11	NM_032583
ABCC12	NM_033226
ABCC13	NR_003087
ABCC2	NM_000392
ABCC3	NM_003786
ABCC4	NM_005845
ABCC5	NM_005688
ABCC5-AS1	NR_046570
ABCC6	NM_001171
ABCC6P1	NR_003569
ABCC6P2	NR_023387
ABCC8	NM_000352
ABCC9	NM_020297
ABCD1	NM_000033
ABCD2	NM_005164
ABCD3	NM_002858
ABCD4	NM_005050
ABCE1	NM_002940
ABCF1	NM_001025091
